"The Avengers","A group of superheroes, including Iron Man, Thor, Captain America, and the Hulk, team up to save the world from an alien invasion."
"Jurassic Park","A theme park showcasing cloned dinosaurs suffers a major security breakdown and chaos ensues."
"Avatar","In the mid-22nd century, humans colonize a distant moon called Pandora, where they clash with the native Na'vi population."
"The Lord of the Rings: The Fellowship of the Ring","A hobbit named Frodo must carry a powerful ring to Mount Doom to destroy it before it falls into the hands of the dark lord Sauron."
"The Shawshank Redemption","Two imprisoned men bond over several years, finding solace and eventual redemption through acts of common decency."
"Pulp Fiction","The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
"The Godfather","The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son."
"Inception","A thief who steals corporate secrets through the use of dream-sharing technology."
"Forrest Gump","A slow-witted but kind-hearted and athletically-talented man."
"Interstellar","A group of astronauts travel through a wormhole near Saturn in search of a new habitable planet for humanity."
"The Matrix","A computer hacker learns about the true nature of reality and joins a group of rebels to fight against sentient machines."
"Titanic","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
"The Dark Knight","Batman sets out to dismantle the remaining criminal organizations that plague Gotham City, but faces a formidable foe in the Joker."
"Gladiator","A betrayed Roman general seeks revenge against the corrupt emperor who murdered his family and sent him into slavery."
"The Lion King","A young lion prince must navigate the challenges of growing up and reclaim his rightful place as the king of the Pride Lands."
"E.T. the Extra-Terrestrial","A young boy befriends a stranded alien and helps him find a way to return to his home planet."
"Braveheart","Scottish warrior William Wallace leads a revolt against the oppressive English rule during the First War of Scottish Independence."
"Back to the Future","A teenager travels back in time with the help of an eccentric scientist and must make sure his parents meet and fall in love."
"Indiana Jones and the Raiders of the Lost Ark","Archaeologist Indiana Jones races against Nazis to find the Ark of the Covenant, which is said to grant divine power."
"Avatar: The Last Airbender","In a world where people can manipulate the elements, a young boy with the power to control all four elements must bring balance to the world."
"The Silence of the Lambs","An FBI agent seeks the help of a brilliant but insane serial killer to catch another serial killer on the loose."
"The Truman Show","A man discovers that his entire life is a reality TV show and decides to break free from his controlled world."
"The Social Network","The story of the creation of the social networking website Facebook and the legal battles that follow."
"The Green Mile","A prison guard forms an unusual bond with a death row inmate who possesses mysterious healing powers."
"Die Hard","A New York cop battles a group of terrorists who have taken hostages in a Los Angeles skyscraper during a Christmas party."
"Fight Club","An insomniac office worker and a soap salesman form an underground fight club that evolves into something much more dangerous."
"The Sixth Sense","A young boy who can communicate with the dead is asked to help a troubled spirit with unfinished business."
"For a Few Dollars More","Two bounty hunters with different motives team up to track down a notorious outlaw and claim the reward."
"The Prestige","Two magicians engage in a bitter rivalry as they try to outperform each other with their greatest illusions."
"Blade Runner","A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth seeking their maker."
"The Departed","An undercover cop and a mole in the police force attempt to identify each other while infiltrating an Irish gang in Boston."
"Inglourious Basterds","A group of Jewish U.S. soldiers plan to assassinate Nazi leaders during World War II."
"The Dark Knight Rises","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
